"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000028664",72.2600362943376,-5.41488689723933,0.516543540673346,-10.4829244213967,1.03493072107128e-25,4.42684981766952e-23,"Ephb2"
"ENSMUSG00000002992",4870.90488391314,-1.26860907212845,0.121088971925752,-10.4766689480717,1.10569829763341e-25,4.61131475028015e-23,"Apoc2"
"ENSMUSG00000034220",431.80258325105,-2.46641803251578,0.235860287375028,-10.4571145060722,1.3593231330836e-25,5.53078744051236e-23,"Gpc1"
"ENSMUSG00000032548",1013.47560864554,1.66977518737005,0.160173261965912,10.4248060311428,1.91048751331169e-25,7.58827445168228e-23,"Slco2a1"
"ENSMUSG00000002831",567.05839625014,-2.8997209060016,0.27948013561331,-10.3754096856947,3.20833259227948e-25,1.2446838210327e-22,"Plin4"
"ENSMUSG00000041293",109.937017101807,6.35003630645803,0.629510772602235,10.0872559816707,6.2903340706906e-24,2.38489438561956e-21,"Gpr110"
"ENSMUSG00000072115",2643.72186056462,1.65488026145681,0.165860681370625,9.97753203339905,1.91162329371729e-23,7.08659995239818e-21,"Ang"
"ENSMUSG00000003053",33916.1789956889,2.32241530690385,0.232888041041004,9.97223943540728,2.01630425677129e-23,7.31217121988234e-21,"Cyp2c29"
"ENSMUSG00000020427",446.114818839837,-1.92866705925551,0.193487837678105,-9.96789815008488,2.10639141747077e-23,7.47634502686116e-21,"Igfbp3"
"ENSMUSG00000041653",97.1218929112337,-4.27240477168784,0.430141637937754,-9.93255336119332,3.00461267713583e-23,1.04422809749958e-20,"Pnpla3"
"ENSMUSG00000028655",1799.22455513953,-2.29582545757779,0.231407339579814,-9.92114364974988,3.36873835147231e-23,1.14688353427063e-20,"Mfsd2a"
"ENSMUSG00000030257",95.8149130558964,2.90633962924898,0.294989308522249,9.85235581522702,6.69558548724516e-23,2.23391514196448e-20,"Srgap3"
"ENSMUSG00000051579",525.98057046391,-3.04091736618202,0.309020567062612,-9.84050154035827,7.53343393304613e-23,2.46417146806031e-20,"Tceal8"
"ENSMUSG00000030827",81.0561056021998,-3.24517221108752,0.332957608672307,-9.7465026374615,1.90932932687483e-22,6.12527535210114e-20,"Fgf21"
"ENSMUSG00000033581",66.838506046267,-3.36829464852202,0.346180521313111,-9.72987918484151,2.24859864435341e-22,7.07757029907613e-20,"Igf2bp2"
"ENSMUSG00000031434",114.494587308197,-2.78595390070581,0.29125917819079,-9.5652055259212,1.11978762550994e-21,3.45931429051052e-19,"Morc4"
"ENSMUSG00000054793",103.611637365016,2.80368338682795,0.293505128798269,9.55241701672264,1.26705089479992e-21,3.84308055037314e-19,"Cadm4"
